"","16_26","32_39","40_52","53_65","66_76"
"Total",321653,329314,603451,363367,0
"Gestion",10962,29806,59249,30755.5,0
"Affaire",48738,80102.5,170047.5,110234.5,0
"Science_naturelle",8335,15770.5,21798.5,7244.5,0
"Santé",30320,41571.5,68991.5,38593,0
"Enseignement_service_sociaux",40643,74084.5,102029.5,54122,0
"arts_sport",14928,11274,15357,9077,0
"Vente_service",156683,60792.5,128929.5,89075,0
"Metiers_transport",3208,5271,10772,6078.5,0
"ressources_nat",2084,1275.5,3441.5,2619.5,0
"Service_public",5747,9369,22843,15564.5,0
"Retraite",0,0,0,0,1
