"","Prediction","Pop homme 40_52","Pop PME","Salaire"
"H7A",0,2010,0.0479929218553957,90
"H7B",0,293,0.0479929218553957,20
"H7C",0,962,0.0479929218553957,40
"H7E",1,2471,0.0479929218553957,295
"H7G",0,1678,0.0479929218553957,130
"H7H",0,1392,0.0479929218553957,100
"H7J",0,200,0.0479929218553957,20
"H7K",1,2188,0.0479929218553957,220
"H7L",2,3904,0.0479929218553957,395
"H7M",1,2185,0.0479929218553957,190
"H7N",1,3466,0.0479929218553957,165
"H7P",1,3468,0.0479929218553957,265
"H7R",1,3146,0.0479929218553957,210
"H7S",0,635,0.0479929218553957,30
"H7T",1,2151,0.0479929218553957,180
"H7V",0,1749,0.0479929218553957,45
"H7W",1,3448,0.0479929218553957,210
"H7X",2,2906,0.0479929218553957,310
"H7Y",1,1178,0.0479929218553957,190
